home_team,away_team,home_team_goals,away_team_goals,winner,loser,venue,league,year,date
Charlton,Aston Villa,1,2,Aston Villa,Charlton,"The Valley, London",1,2003/04,2004-03-27
Aston Villa,Blackburn,0,2,Blackburn,Aston Villa,"Villa Park, Birmingham",1,2003/04,2004-03-20
Wolves,Aston Villa,0,4,Aston Villa,Wolves,"Molineux, Wolverhampton",1,2003/04,2004-03-14
Everton,Aston Villa,2,0,Everton,Aston Villa,"Goodison Park, Liverpool",1,2003/04,2004-02-28
Aston Villa,Birmingham,2,2,draw,draw,"Villa Park, Birmingham",1,2003/04,2004-02-22
Fulham,Aston Villa,1,2,Aston Villa,Fulham,"Loftus Road, London",1,2003/04,2004-02-11
Aston Villa,Leeds,2,0,Aston Villa,Leeds,"Villa Park, Birmingham",1,2003/04,2004-02-07
Leicester,Aston Villa,0,5,Aston Villa,Leicester,"King Power Stadium, Leicester",1,2003/04,2004-01-31
Aston Villa,Arsenal,0,2,Arsenal,Aston Villa,"Villa Park, Birmingham",1,2003/04,2004-01-18
Liverpool,Aston Villa,1,0,Liverpool,Aston Villa,"Anfield, Liverpool",1,2003/04,2004-01-10
Aston Villa,Portsmouth,2,1,Aston Villa,Portsmouth,"Villa Park, Birmingham",1,2003/04,2004-01-06
Aston Villa,Fulham,3,0,Aston Villa,Fulham,"Villa Park, Birmingham",1,2003/04,2003-12-28
Leeds,Aston Villa,0,0,draw,draw,"Elland Road, Leeds",1,2003/04,2003-12-26
Blackburn,Aston Villa,0,2,Aston Villa,Blackburn,"Ewood Park, Blackburn",1,2003/04,2003-12-20
Aston Villa,Wolves,3,2,Aston Villa,Wolves,"Villa Park, Birmingham",1,2003/04,2003-12-14
Man Utd,Aston Villa,4,0,Man Utd,Aston Villa,"Old Trafford, Manchester",1,2003/04,2003-12-06
Aston Villa,Southampton,1,0,Aston Villa,Southampton,"Villa Park, Birmingham",1,2003/04,2003-11-29
Spurs,Aston Villa,2,1,Spurs,Aston Villa,"White Hart Lane, London",1,2003/04,2003-11-23
Aston Villa,Middlesbrough,0,2,Middlesbrough,Aston Villa,"Villa Park, Birmingham",1,2003/04,2003-11-08
Newcastle,Aston Villa,1,1,draw,draw,"Sports Direct Arena, Newcastle",1,2003/04,2003-11-01
Aston Villa,Everton,0,0,draw,draw,"Villa Park, Birmingham",1,2003/04,2003-10-25
Birmingham,Aston Villa,0,0,draw,draw,"St Andrews, Birmingham",1,2003/04,2003-10-19
Aston Villa,Bolton,1,1,draw,draw,"Villa Park, Birmingham",1,2003/04,2003-10-05
Chelsea,Aston Villa,1,0,Chelsea,Aston Villa,"Stamford Bridge, London",1,2003/04,2003-09-27
Aston Villa,Charlton,2,1,Aston Villa,Charlton,"Villa Park, Birmingham",1,2003/04,2003-09-20
Man City,Aston Villa,4,1,Man City,Aston Villa,"Etihad Stadium, Manchester",1,2003/04,2003-09-14
Aston Villa,Leicester,3,1,Aston Villa,Leicester,"Villa Park, Birmingham",1,2003/04,2003-08-30
Arsenal,Aston Villa,2,0,Arsenal,Aston Villa,"Highbury, London",1,2003/04,2003-08-27
Aston Villa,Liverpool,0,0,draw,draw,"Villa Park, Birmingham",1,2003/04,2003-08-24
Portsmouth,Aston Villa,2,1,Portsmouth,Aston Villa,"Fratton Park, Portsmouth",1,2003/04,2003-08-16
Leeds,Aston Villa,3,1,Leeds,Aston Villa,"Elland Road, Leeds",1,2002/03,2003-05-11
Aston Villa,Sunderland,1,0,Aston Villa,Sunderland,"Villa Park, Birmingham",1,2002/03,2003-05-03
Everton,Aston Villa,2,1,Everton,Aston Villa,"Goodison Park, Liverpool",1,2002/03,2003-04-26
Newcastle,Aston Villa,1,1,draw,draw,"St. James' Park, Newcastle",1,2002/03,2003-04-21
Aston Villa,Chelsea,2,1,Aston Villa,Chelsea,"Villa Park, Birmingham",1,2002/03,2003-04-19
West Ham,Aston Villa,2,2,draw,draw,"Boleyn Ground, London",1,2002/03,2003-04-12
Aston Villa,Arsenal,1,1,draw,draw,"Villa Park, Birmingham",1,2002/03,2003-04-05
Southampton,Aston Villa,2,2,draw,draw,"St. Mary's Stadium, Southampton",1,2002/03,2003-03-22
Aston Villa,Man Utd,0,1,Man Utd,Aston Villa,"Villa Park, Birmingham",1,2002/03,2003-03-15
Aston Villa,Birmingham,0,2,Birmingham,Aston Villa,"Villa Park, Birmingham",1,2002/03,2003-03-03
Charlton,Aston Villa,3,0,Charlton,Aston Villa,"The Valley, London",1,2002/03,2003-02-22
Fulham,Aston Villa,2,1,Fulham,Aston Villa,"Loftus Road, London",1,2002/03,2003-02-08
Aston Villa,Blackburn,3,0,Aston Villa,Blackburn,"Villa Park, Birmingham",1,2002/03,2003-02-02
Middlesbrough,Aston Villa,2,5,Aston Villa,Middlesbrough,"Riverside Stadium, Middlesbrough",1,2002/03,2003-01-28
Aston Villa,Spurs,0,1,Spurs,Aston Villa,"Villa Park, Birmingham",1,2002/03,2003-01-18
Liverpool,Aston Villa,1,1,draw,draw,"Anfield, Liverpool",1,2002/03,2003-01-11
Aston Villa,Bolton,2,0,Aston Villa,Bolton,"Villa Park, Birmingham",1,2002/03,2003-01-01
Aston Villa,Middlesbrough,1,0,Aston Villa,Middlesbrough,"Villa Park, Birmingham",1,2002/03,2002-12-28
Man City,Aston Villa,3,1,Man City,Aston Villa,"Maine Road, Manchester",1,2002/03,2002-12-26
Chelsea,Aston Villa,2,0,Chelsea,Aston Villa,"Stamford Bridge, London",1,2002/03,2002-12-21
Aston Villa,West Brom,2,1,Aston Villa,West Brom,"Villa Park, Birmingham",1,2002/03,2002-12-14
Aston Villa,Newcastle,0,1,Newcastle,Aston Villa,"Villa Park, Birmingham",1,2002/03,2002-12-07
Arsenal,Aston Villa,3,1,Arsenal,Aston Villa,"Highbury, London",1,2002/03,2002-11-30
Aston Villa,West Ham,4,1,Aston Villa,West Ham,"Villa Park, Birmingham",1,2002/03,2002-11-23
West Brom,Aston Villa,0,0,draw,draw,"The Hawthorns, West Bromwich",1,2002/03,2002-11-16
Aston Villa,Fulham,3,1,Aston Villa,Fulham,"Villa Park, Birmingham",1,2002/03,2002-11-09
Blackburn,Aston Villa,0,0,draw,draw,"Ewood Park, Blackburn",1,2002/03,2002-11-03
Man Utd,Aston Villa,1,1,draw,draw,"Old Trafford, Manchester",1,2002/03,2002-10-26
Aston Villa,Southampton,0,1,Southampton,Aston Villa,"Villa Park, Birmingham",1,2002/03,2002-10-21
Aston Villa,Leeds,0,0,draw,draw,"Villa Park, Birmingham",1,2002/03,2002-10-06
Sunderland,Aston Villa,1,0,Sunderland,Aston Villa,"Stadium of Light, Sunderland",1,2002/03,2002-09-28
Aston Villa,Everton,3,2,Aston Villa,Everton,"Villa Park, Birmingham",1,2002/03,2002-09-22
Birmingham,Aston Villa,3,0,Birmingham,Aston Villa,"St. Andrew's Stadium, Birmingham",1,2002/03,2002-09-16
Aston Villa,Charlton,2,0,Aston Villa,Charlton,"Villa Park, Birmingham",1,2002/03,2002-09-11
Bolton,Aston Villa,1,0,Bolton,Aston Villa,"Macron Stadium, Bolton",1,2002/03,2002-09-01
Aston Villa,Man City,1,0,Aston Villa,Man City,"Villa Park, Birmingham",1,2002/03,2002-08-28
Spurs,Aston Villa,1,0,Spurs,Aston Villa,"White Hart Lane, London",1,2002/03,2002-08-24
Aston Villa,Liverpool,0,1,Liverpool,Aston Villa,"Villa Park, Birmingham",1,2002/03,2002-08-18
Chelsea,Aston Villa,1,3,Aston Villa,Chelsea,"Stamford Bridge, London",1,2001/02,2002-05-11
Aston Villa,Southampton,2,1,Aston Villa,Southampton,"Villa Park, Birmingham",1,2001/02,2002-04-27
Leicester,Aston Villa,2,2,draw,draw,"Filbert Street, Leicester",1,2001/02,2002-04-20
Aston Villa,Leeds,0,1,Leeds,Aston Villa,"Villa Park, Birmingham",1,2001/02,2002-04-13
Middlesbrough,Aston Villa,2,1,Middlesbrough,Aston Villa,"Riverside Stadium, Middlesbrough",1,2001/02,2002-04-06
Aston Villa,Newcastle,1,1,draw,draw,"Villa Park, Birmingham",1,2001/02,2002-04-02
Bolton,Aston Villa,3,2,Bolton,Aston Villa,"Macron Stadium, Bolton",1,2001/02,2002-03-30
Ipswich,Aston Villa,0,0,draw,draw,"Portman Road, Ipswich",1,2001/02,2002-03-23
Aston Villa,Arsenal,1,2,Arsenal,Aston Villa,"Villa Park, Birmingham",1,2001/02,2002-03-17
Blackburn,Aston Villa,3,0,Blackburn,Aston Villa,"Ewood Park, Blackburn",1,2001/02,2002-03-05
Aston Villa,West Ham,2,1,Aston Villa,West Ham,"Villa Park, Birmingham",1,2001/02,2002-03-02
Man Utd,Aston Villa,1,0,Man Utd,Aston Villa,"Old Trafford, Manchester",1,2001/02,2002-02-23
Aston Villa,Chelsea,1,1,draw,draw,"Villa Park, Birmingham",1,2001/02,2002-02-09
Fulham,Aston Villa,0,0,draw,draw,"Craven Cottage, London",1,2001/02,2002-02-02
Aston Villa,Everton,0,0,draw,draw,"Villa Park, Birmingham",1,2001/02,2002-01-30
Charlton,Aston Villa,1,2,Aston Villa,Charlton,"The Valley, London",1,2001/02,2002-01-21
Aston Villa,Derby,2,1,Aston Villa,Derby,"Villa Park, Birmingham",1,2001/02,2002-01-12
Sunderland,Aston Villa,1,1,draw,draw,"Stadium of Light, Sunderland",1,2001/02,2002-01-01
Aston Villa,Spurs,1,1,draw,draw,"Villa Park, Birmingham",1,2001/02,2001-12-29
Aston Villa,Liverpool,1,2,Liverpool,Aston Villa,"Villa Park, Birmingham",1,2001/02,2001-12-26
Derby,Aston Villa,3,1,Derby,Aston Villa,"Pride Park, Derby",1,2001/02,2001-12-22
Aston Villa,Ipswich,2,1,Aston Villa,Ipswich,"Villa Park, Birmingham",1,2001/02,2001-12-17
Arsenal,Aston Villa,3,2,Arsenal,Aston Villa,"Highbury, London",1,2001/02,2001-12-09
West Ham,Aston Villa,1,1,draw,draw,"Boleyn Ground, London",1,2001/02,2001-12-05
Aston Villa,Leicester,0,2,Leicester,Aston Villa,"Villa Park, Birmingham",1,2001/02,2001-12-01
Leeds,Aston Villa,1,1,draw,draw,"Elland Road, Leeds",1,2001/02,2001-11-25
Aston Villa,Middlesbrough,0,0,draw,draw,"Villa Park, Birmingham",1,2001/02,2001-11-17
Newcastle,Aston Villa,3,0,Newcastle,Aston Villa,"St. James' Park, Newcastle",1,2001/02,2001-11-03
Aston Villa,Bolton,3,2,Aston Villa,Bolton,"Villa Park, Birmingham",1,2001/02,2001-10-27
Aston Villa,Charlton,1,0,Aston Villa,Charlton,"Villa Park, Birmingham",1,2001/02,2001-10-24
Everton,Aston Villa,3,2,Everton,Aston Villa,"Goodison Park, Liverpool",1,2001/02,2001-10-20
Aston Villa,Fulham,2,0,Aston Villa,Fulham,"Villa Park, Birmingham",1,2001/02,2001-10-14
Aston Villa,Blackburn,2,0,Aston Villa,Blackburn,"Villa Park, Birmingham",1,2001/02,2001-09-30
Southampton,Aston Villa,1,3,Aston Villa,Southampton,"St. Mary's Stadium, Southampton",1,2001/02,2001-09-24
Aston Villa,Sunderland,0,0,draw,draw,"Villa Park, Birmingham",1,2001/02,2001-09-16
Liverpool,Aston Villa,1,3,Aston Villa,Liverpool,"Anfield, Liverpool",1,2001/02,2001-09-08
Aston Villa,Man Utd,1,1,draw,draw,"Villa Park, Birmingham",1,2001/02,2001-08-26
Spurs,Aston Villa,0,0,draw,draw,"White Hart Lane, London",1,2001/02,2001-08-18
Newcastle,Aston Villa,3,0,Newcastle,Aston Villa,"St. James' Park, Newcastle",1,2000/01,2001-05-19
Aston Villa,Coventry,3,2,Aston Villa,Coventry,"Villa Park, Birmingham",1,2000/01,2001-05-05
Spurs,Aston Villa,0,0,draw,draw,"White Hart Lane, London",1,2000/01,2001-04-28
Aston Villa,Southampton,0,0,draw,draw,"Villa Park, Birmingham",1,2000/01,2001-04-21
Charlton,Aston Villa,3,3,draw,draw,"The Valley, London",1,2000/01,2001-04-17
Aston Villa,Everton,2,1,Aston Villa,Everton,"Villa Park, Birmingham",1,2000/01,2001-04-14
Aston Villa,West Ham,2,2,draw,draw,"Villa Park, Birmingham",1,2000/01,2001-04-07
Aston Villa,Leicester,2,1,Aston Villa,Leicester,"Villa Park, Birmingham",1,2000/01,2001-04-04
Man City,Aston Villa,1,3,Aston Villa,Man City,"Maine Road, Manchester",1,2000/01,2001-03-31
Aston Villa,Arsenal,0,0,draw,draw,"Villa Park, Birmingham",1,2000/01,2001-03-18
Aston Villa,Ipswich,2,1,Aston Villa,Ipswich,"Villa Park, Birmingham",1,2000/01,2001-03-10
Sunderland,Aston Villa,1,1,draw,draw,"Stadium of Light, Sunderland",1,2000/01,2001-03-05
Derby,Aston Villa,1,0,Derby,Aston Villa,"Pride Park, Derby",1,2000/01,2001-02-24
Aston Villa,Middlesbrough,1,1,draw,draw,"Villa Park, Birmingham",1,2000/01,2001-02-10
Bradford,Aston Villa,0,3,Aston Villa,Bradford,"Valley Parade, Bradford",1,2000/01,2001-02-03
Aston Villa,Leeds,1,2,Leeds,Aston Villa,"Villa Park, Birmingham",1,2000/01,2001-01-24
Man Utd,Aston Villa,2,0,Man Utd,Aston Villa,"Old Trafford, Manchester",1,2000/01,2001-01-20
Aston Villa,Liverpool,0,3,Liverpool,Aston Villa,"Villa Park, Birmingham",1,2000/01,2001-01-13
Chelsea,Aston Villa,1,0,Chelsea,Aston Villa,"Stamford Bridge, London",1,2000/01,2001-01-01
Aston Villa,Man Utd,0,1,Man Utd,Aston Villa,"Villa Park, Birmingham",1,2000/01,2000-12-26
Leeds,Aston Villa,1,2,Aston Villa,Leeds,"Elland Road, Leeds",1,2000/01,2000-12-23
Aston Villa,Man City,2,2,draw,draw,"Villa Park, Birmingham",1,2000/01,2000-12-16
West Ham,Aston Villa,1,1,draw,draw,"Boleyn Ground, London",1,2000/01,2000-12-09
Aston Villa,Newcastle,1,1,draw,draw,"Villa Park, Birmingham",1,2000/01,2000-12-02
Coventry,Aston Villa,1,1,draw,draw,"Highfield Road, Coventry",1,2000/01,2000-11-25
Southampton,Aston Villa,2,0,Southampton,Aston Villa,"The Dell, Southampton",1,2000/01,2000-11-18
Aston Villa,Spurs,2,0,Aston Villa,Spurs,"Villa Park, Birmingham",1,2000/01,2000-11-11
Everton,Aston Villa,0,1,Aston Villa,Everton,"Goodison Park, Liverpool",1,2000/01,2000-11-05
Aston Villa,Charlton,2,1,Aston Villa,Charlton,"Villa Park, Birmingham",1,2000/01,2000-10-28
Aston Villa,Sunderland,0,0,draw,draw,"Villa Park, Birmingham",1,2000/01,2000-10-22
Arsenal,Aston Villa,1,0,Arsenal,Aston Villa,"Highbury, London",1,2000/01,2000-10-14
Aston Villa,Derby,4,1,Aston Villa,Derby,"Villa Park, Birmingham",1,2000/01,2000-09-30
Middlesbrough,Aston Villa,1,1,draw,draw,"Riverside Stadium, Middlesbrough",1,2000/01,2000-09-23
Aston Villa,Bradford,2,0,Aston Villa,Bradford,"Villa Park, Birmingham",1,2000/01,2000-09-16
Ipswich,Aston Villa,1,2,Aston Villa,Ipswich,"Portman Road, Ipswich",1,2000/01,2000-09-09
Liverpool,Aston Villa,3,1,Liverpool,Aston Villa,"Anfield, Liverpool",1,2000/01,2000-09-06
Aston Villa,Chelsea,1,1,draw,draw,"Villa Park, Birmingham",1,2000/01,2000-08-27
Leicester,Aston Villa,0,0,draw,draw,"Filbert Street, Leicester",1,2000/01,2000-08-19
Aston Villa,Man Utd,0,1,Man Utd,Aston Villa,"Villa Park, Birmingham",1,1999/00,2000-05-14
Wimbledon,Aston Villa,2,2,draw,draw,"Selhurst Park, London",1,1999/00,2000-05-06
Aston Villa,Sunderland,1,1,draw,draw,"Villa Park, Birmingham",1,1999/00,2000-04-29
Aston Villa,Leicester,2,2,draw,draw,"Villa Park, Birmingham",1,1999/00,2000-04-22
Spurs,Aston Villa,2,4,Aston Villa,Spurs,"White Hart Lane, London",1,1999/00,2000-04-15
Aston Villa,Leeds,1,0,Aston Villa,Leeds,"Villa Park, Birmingham",1,1999/00,2000-04-09
Sheffield Wed,Aston Villa,0,1,Aston Villa,Sheffield Wed,"Hillsborough, Sheffield",1,1999/00,2000-04-05
Aston Villa,Derby,2,0,Aston Villa,Derby,"Villa Park, Birmingham",1,1999/00,2000-03-25
Southampton,Aston Villa,2,0,Southampton,Aston Villa,"The Dell, Southampton",1,1999/00,2000-03-18
Liverpool,Aston Villa,0,0,draw,draw,"Anfield, Liverpool",1,1999/00,2000-03-15
Aston Villa,Coventry,1,0,Aston Villa,Coventry,"Villa Park, Birmingham",1,1999/00,2000-03-11
Aston Villa,Arsenal,1,1,draw,draw,"Villa Park, Birmingham",1,1999/00,2000-03-05
Bradford,Aston Villa,1,1,draw,draw,"Valley Parade, Bradford",1,1999/00,2000-02-26
Middlesbrough,Aston Villa,0,4,Aston Villa,Middlesbrough,"Riverside Stadium, Middlesbrough",1,1999/00,2000-02-14
Aston Villa,Watford,4,0,Aston Villa,Watford,"Villa Park, Birmingham",1,1999/00,2000-02-05
Aston Villa,Chelsea,0,0,draw,draw,"Villa Park, Birmingham",1,1999/00,2000-01-22
West Ham,Aston Villa,1,1,draw,draw,"Boleyn Ground, London",1,1999/00,2000-01-15
Leeds,Aston Villa,1,2,Aston Villa,Leeds,"Elland Road, Leeds",1,1999/00,2000-01-03
Aston Villa,Spurs,1,1,draw,draw,"Villa Park, Birmingham",1,1999/00,1999-12-29
Derby,Aston Villa,0,2,Aston Villa,Derby,"Pride Park, Derby",1,1999/00,1999-12-26
Aston Villa,Sheffield Wed,2,1,Aston Villa,Sheffield Wed,"Villa Park, Birmingham",1,1999/00,1999-12-18
Aston Villa,Newcastle,0,1,Newcastle,Aston Villa,"Villa Park, Birmingham",1,1999/00,1999-12-04
Everton,Aston Villa,0,0,draw,draw,"Goodison Park, Liverpool",1,1999/00,1999-11-27
Coventry,Aston Villa,2,1,Coventry,Aston Villa,"Highfield Road, Coventry",1,1999/00,1999-11-22
Aston Villa,Southampton,0,1,Southampton,Aston Villa,"Villa Park, Birmingham",1,1999/00,1999-11-06
Man Utd,Aston Villa,3,0,Man Utd,Aston Villa,"Old Trafford, Manchester",1,1999/00,1999-10-30
Aston Villa,Wimbledon,1,1,draw,draw,"Villa Park, Birmingham",1,1999/00,1999-10-23
Sunderland,Aston Villa,2,1,Sunderland,Aston Villa,"Stadium of Light, Sunderland",1,1999/00,1999-10-18
Aston Villa,Liverpool,0,0,draw,draw,"Villa Park, Birmingham",1,1999/00,1999-10-02
Leicester,Aston Villa,3,1,Leicester,Aston Villa,"Filbert Street, Leicester",1,1999/00,1999-09-25
Aston Villa,Bradford,1,0,Aston Villa,Bradford,"Villa Park, Birmingham",1,1999/00,1999-09-18
Arsenal,Aston Villa,3,1,Arsenal,Aston Villa,"Highbury, London",1,1999/00,1999-09-11
Aston Villa,Middlesbrough,1,0,Aston Villa,Middlesbrough,"Villa Park, Birmingham",1,1999/00,1999-08-28
Watford,Aston Villa,0,1,Aston Villa,Watford,"Vicarage Road, Watford",1,1999/00,1999-08-24
Chelsea,Aston Villa,1,0,Chelsea,Aston Villa,"Stamford Bridge, London",1,1999/00,1999-08-21
Aston Villa,West Ham,2,2,draw,draw,"Villa Park, Birmingham",1,1999/00,1999-08-16
Aston Villa,Everton,3,0,Aston Villa,Everton,"Villa Park, Birmingham",1,1999/00,1999-08-11
Newcastle,Aston Villa,0,1,Aston Villa,Newcastle,"St. James' Park, Newcastle",1,1999/00,1999-08-07
Arsenal,Aston Villa,1,0,Arsenal,Aston Villa,"Highbury, London",1,1998/99,1999-05-16
Aston Villa,Charlton,3,4,Charlton,Aston Villa,"Villa Park, Birmingham",1,1998/99,1999-05-08
Man Utd,Aston Villa,2,1,Man Utd,Aston Villa,"Old Trafford, Manchester",1,1998/99,1999-05-01
Aston Villa,Nott'm Forest,2,0,Aston Villa,Nott'm Forest,"Villa Park, Birmingham",1,1998/99,1999-04-24
Liverpool,Aston Villa,0,1,Aston Villa,Liverpool,"Anfield, Liverpool",1,1998/99,1999-04-17
Aston Villa,Southampton,3,0,Aston Villa,Southampton,"Villa Park, Birmingham",1,1998/99,1999-04-10
Leicester,Aston Villa,2,2,draw,draw,"Filbert Street, Leicester",1,1998/99,1999-04-06
Aston Villa,West Ham,0,0,draw,draw,"Villa Park, Birmingham",1,1998/99,1999-04-02
Aston Villa,Chelsea,0,3,Chelsea,Aston Villa,"Villa Park, Birmingham",1,1998/99,1999-03-21
Spurs,Aston Villa,1,0,Spurs,Aston Villa,"White Hart Lane, London",1,1998/99,1999-03-13
Derby,Aston Villa,2,1,Derby,Aston Villa,"Pride Park, Derby",1,1998/99,1999-03-10
Aston Villa,Coventry,1,4,Coventry,Aston Villa,"Villa Park, Birmingham",1,1998/99,1999-02-27
Wimbledon,Aston Villa,0,0,draw,draw,"Selhurst Park, London",1,1998/99,1999-02-21
Aston Villa,Leeds,1,2,Leeds,Aston Villa,"Villa Park, Birmingham",1,1998/99,1999-02-17
Aston Villa,Blackburn,1,3,Blackburn,Aston Villa,"Villa Park, Birmingham",1,1998/99,1999-02-06
Newcastle,Aston Villa,2,1,Newcastle,Aston Villa,"St. James' Park, Newcastle",1,1998/99,1999-01-30
Aston Villa,Everton,3,0,Aston Villa,Everton,"Villa Park, Birmingham",1,1998/99,1999-01-18
Middlesbrough,Aston Villa,0,0,draw,draw,"Riverside Stadium, Middlesbrough",1,1998/99,1999-01-09
Aston Villa,Sheffield Wed,2,1,Aston Villa,Sheffield Wed,"Villa Park, Birmingham",1,1998/99,1998-12-28
Blackburn,Aston Villa,2,1,Blackburn,Aston Villa,"Ewood Park, Blackburn",1,1998/99,1998-12-26
Charlton,Aston Villa,0,1,Aston Villa,Charlton,"The Valley, London",1,1998/99,1998-12-21
Aston Villa,Arsenal,3,2,Aston Villa,Arsenal,"Villa Park, Birmingham",1,1998/99,1998-12-13
Chelsea,Aston Villa,2,1,Chelsea,Aston Villa,"Stamford Bridge, London",1,1998/99,1998-12-09
Aston Villa,Man Utd,1,1,draw,draw,"Villa Park, Birmingham",1,1998/99,1998-12-05
Nott'm Forest,Aston Villa,2,2,draw,draw,"City Ground, Nottingham",1,1998/99,1998-11-28
Aston Villa,Liverpool,2,4,Liverpool,Aston Villa,"Villa Park, Birmingham",1,1998/99,1998-11-21
Southampton,Aston Villa,1,4,Aston Villa,Southampton,"The Dell, Southampton",1,1998/99,1998-11-14
Aston Villa,Spurs,3,2,Aston Villa,Spurs,"Villa Park, Birmingham",1,1998/99,1998-11-07
Aston Villa,Leicester,1,1,draw,draw,"Villa Park, Birmingham",1,1998/99,1998-10-24
West Ham,Aston Villa,0,0,draw,draw,"Boleyn Ground, London",1,1998/99,1998-10-17
Coventry,Aston Villa,1,2,Aston Villa,Coventry,"Highfield Road, Coventry",1,1998/99,1998-10-03
Aston Villa,Derby,1,0,Aston Villa,Derby,"Villa Park, Birmingham",1,1998/99,1998-09-26
Leeds,Aston Villa,0,0,draw,draw,"Elland Road, Leeds",1,1998/99,1998-09-19
Aston Villa,Wimbledon,2,0,Aston Villa,Wimbledon,"Villa Park, Birmingham",1,1998/99,1998-09-12
Aston Villa,Newcastle,1,0,Aston Villa,Newcastle,"Villa Park, Birmingham",1,1998/99,1998-09-09
Sheffield Wed,Aston Villa,0,1,Aston Villa,Sheffield Wed,"Hillsborough, Sheffield",1,1998/99,1998-08-29
Aston Villa,Middlesbrough,3,1,Aston Villa,Middlesbrough,"Villa Park, Birmingham",1,1998/99,1998-08-23
Everton,Aston Villa,0,0,draw,draw,"Goodison Park, Liverpool",1,1998/99,1998-08-15
Aston Villa,Arsenal,1,0,Aston Villa,Arsenal,"Villa Park, Birmingham",1,1997/98,1998-05-10
Sheffield Wed,Aston Villa,1,3,Aston Villa,Sheffield Wed,"Hillsborough, Sheffield",1,1997/98,1998-05-02
Aston Villa,Bolton,1,3,Bolton,Aston Villa,"Villa Park, Birmingham",1,1997/98,1998-04-25
Southampton,Aston Villa,1,2,Aston Villa,Southampton,"The Dell, Southampton",1,1997/98,1998-04-18
Coventry,Aston Villa,1,2,Aston Villa,Coventry,"Highfield Road, Coventry",1,1997/98,1998-04-11
Aston Villa,West Ham,2,0,Aston Villa,West Ham,"Villa Park, Birmingham",1,1997/98,1998-04-04
Everton,Aston Villa,1,4,Aston Villa,Everton,"Goodison Park, Liverpool",1,1997/98,1998-03-28
Aston Villa,Crystal Palace,3,1,Aston Villa,Crystal Palace,"Villa Park, Birmingham",1,1997/98,1998-03-14
Aston Villa,Barnsley,0,1,Barnsley,Aston Villa,"Villa Park, Birmingham",1,1997/98,1998-03-11
Chelsea,Aston Villa,0,1,Aston Villa,Chelsea,"Stamford Bridge, London",1,1997/98,1998-03-08
Aston Villa,Liverpool,2,1,Aston Villa,Liverpool,"Villa Park, Birmingham",1,1997/98,1998-02-28
Wimbledon,Aston Villa,2,1,Wimbledon,Aston Villa,"Selhurst Park, London",1,1997/98,1998-02-21
Aston Villa,Man Utd,0,2,Man Utd,Aston Villa,"Villa Park, Birmingham",1,1997/98,1998-02-18
Derby,Aston Villa,0,1,Aston Villa,Derby,"Pride Park, Derby",1,1997/98,1998-02-07
Aston Villa,Newcastle,0,1,Newcastle,Aston Villa,"Villa Park, Birmingham",1,1997/98,1998-02-01
Blackburn,Aston Villa,5,0,Blackburn,Aston Villa,"Ewood Park, Blackburn",1,1997/98,1998-01-17
Aston Villa,Leicester,1,1,draw,draw,"Villa Park, Birmingham",1,1997/98,1998-01-10
Leeds,Aston Villa,1,1,draw,draw,"Elland Road, Leeds",1,1997/98,1997-12-28
Aston Villa,Spurs,4,1,Aston Villa,Spurs,"Villa Park, Birmingham",1,1997/98,1997-12-26
Aston Villa,Southampton,1,1,draw,draw,"Villa Park, Birmingham",1,1997/98,1997-12-20
Man Utd,Aston Villa,1,0,Man Utd,Aston Villa,"Old Trafford, Manchester",1,1997/98,1997-12-15
Aston Villa,Coventry,3,0,Aston Villa,Coventry,"Villa Park, Birmingham",1,1997/98,1997-12-06
West Ham,Aston Villa,2,1,West Ham,Aston Villa,"Boleyn Ground, London",1,1997/98,1997-11-29
Aston Villa,Everton,2,1,Aston Villa,Everton,"Villa Park, Birmingham",1,1997/98,1997-11-22
Crystal Palace,Aston Villa,1,1,draw,draw,"Selhurst Park, London",1,1997/98,1997-11-08
Aston Villa,Chelsea,0,2,Chelsea,Aston Villa,"Villa Park, Birmingham",1,1997/98,1997-11-01
Arsenal,Aston Villa,0,0,draw,draw,"Highbury, London",1,1997/98,1997-10-26
Aston Villa,Wimbledon,1,2,Wimbledon,Aston Villa,"Villa Park, Birmingham",1,1997/98,1997-10-18
Bolton,Aston Villa,0,1,Aston Villa,Bolton,"Macron Stadium, Bolton",1,1997/98,1997-10-04
Aston Villa,Sheffield Wed,2,2,draw,draw,"Villa Park, Birmingham",1,1997/98,1997-09-27
Liverpool,Aston Villa,3,0,Liverpool,Aston Villa,"Anfield, Liverpool",1,1997/98,1997-09-22
Aston Villa,Derby,2,1,Aston Villa,Derby,"Villa Park, Birmingham",1,1997/98,1997-09-20
Barnsley,Aston Villa,0,3,Aston Villa,Barnsley,"Oakwell, Barnsley",1,1997/98,1997-09-13
Aston Villa,Leeds,1,0,Aston Villa,Leeds,"Villa Park, Birmingham",1,1997/98,1997-08-30
Spurs,Aston Villa,3,2,Spurs,Aston Villa,"White Hart Lane, London",1,1997/98,1997-08-27
Newcastle,Aston Villa,1,0,Newcastle,Aston Villa,"St. James' Park, Newcastle",1,1997/98,1997-08-23
Aston Villa,Blackburn,0,4,Blackburn,Aston Villa,"Villa Park, Birmingham",1,1997/98,1997-08-13
Leicester,Aston Villa,1,0,Leicester,Aston Villa,"Filbert Street, Leicester",1,1997/98,1997-08-09
